*race,_candidate_id,_candidate_name,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R29,#R30,#R31,#R32,#R33,#R34,#R35,#R36,#R37,#R38,#R39,#R40,#R41,#R42,#R43,#R44,#R45,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53
Native,0,Kevin Curren,50,59,59,59,59,59,59,50,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,59,59,59,59,59,59,50
Native,1,Scott Davis,58,58,58,58,50,50,58,58,58,58,58,58,58,58,50,50,50,50,50,50,50,58,58,50,50,50,50,50,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,50,50,58,58
Native,2,Andrei Chesnokov,59,50,50,50,58,58,50,59,50,50,50,50,50,50,58,58,58,58,58,58,58,50,50,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,50,50,50,58,58,50,59
Black,3,John McEnroe,26,48,48,48,26,48,60,26,48,48,3,3,48,48,26,26,26,26,26,26,48,60,60,60,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,48,48,48,26,48,60,26
Native,4,Thomas Muster,19,3,47,26,48,26,26,60,3,3,48,48,3,3,48,48,48,48,48,48,26,26,26,26,60,60,60,60,60,60,60,60,60,60,19,19,19,19,19,19,19,19,19,19,19,19,3,47,26,48,26,26,60
Native,5,Jordi Arrese,60,47,3,3,3,12,48,4,47,47,47,26,12,12,3,12,12,12,12,12,60,48,48,48,48,48,48,4,48,4,19,19,19,19,60,60,60,60,60,60,60,60,60,60,60,60,47,3,3,3,12,48,4
Black,6,Jim Courier,4,12,12,12,12,60,4,10,12,12,26,12,47,47,12,42,42,10,60,60,12,4,4,4,4,10,10,48,4,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12,60,4,10
White,7,Alex Antonitsch,10,26,26,47,42,10,12,48,26,26,12,54,26,26,42,3,3,42,10,10,10,12,12,12,12,4,4,10,10,48,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,26,26,47,42,10,12,48
Black,8,Guillermo Perez-Roldan,22,42,28,42,47,4,10,12,42,42,17,47,54,54,47,60,60,3,42,3,4,10,10,10,10,12,12,12,12,12,48,48,48,3,3,48,3,48,22,22,22,22,22,22,22,22,42,28,42,47,4,10,12
Native,9,Paul Haarhuis,48,56,17,54,54,2,3,2,56,56,42,42,42,42,10,47,47,60,3,42,2,3,3,56,56,56,42,47,47,2,12,12,22,48,48,3,48,22,48,48,48,48,48,48,48,48,56,17,54,54,2,3,2
White,10,Emilio Sanchez,27,54,42,17,56,3,56,47,54,54,56,17,17,17,54,10,10,47,56,56,3,56,56,2,2,2,47,42,2,47,3,22,3,22,22,22,22,3,27,27,27,27,27,27,27,27,54,42,17,56,3,56,47
