_candidate_id,_candidate_name,*region,#R2022_scores_overall,#R2023_scores_research,#R2024_scores_research,#R2021_intl outlook score,#R2019_stats_pc_intl_students,#R2017_scores_research,#R2023_stats_pc_intl_students,#R2021_overall score,#R2019_scores_overall,#R2022_scores_industry_income,#R2018_scores_overall,#R2023_scores_international_outlook,#R2018_scores_citations,#R2023_scores_citations,#R2019_scores_citations,#R2018_scores_research,#R2017_stats_pc_intl_students,#R2020_Teaching,#R2017_scores_international_outlook,#R2022_scores_international_outlook,#R2021_citations score,#R2020_International_Students,#R2020_Research,#R2020_International_Outlook,#R2020_Industry_Income,#R2024_scores_overall,#R2019_scores_teaching,#R2024_scores_teaching,#R2017_scores_industry_income,#R2024_scores_international_outlook,#R2023_scores_industry_income,#R2018_scores_industry_income,#R2019_scores_international_outlook,#R2022_scores_teaching,#R2018_scores_teaching,#R2023_scores_teaching,#R2020_Citations,#R2018_scores_international_outlook,#R2021_industry income score,#R2024_scores_citations,#R2022_stats_pc_intl_students,#R2021_teaching score,#R2019_scores_industry_income,#R2020_Score_Result,#R2021_research score,#R2022_scores_research,#R2024_stats_pc_intl_students,#R2017_scores_overall,#R2018_stats_pc_intl_students,#R2017_scores_citations,#R2024_scores_industry_income,#R2022_scores_citations,#R2023_scores_overall,#R2019_scores_research,#R2017_scores_teaching
0,California Institute of Technology,West,0,4,4,2,104,4,96,1,1,12,0,2,2,1,1,4,46,1,2,2,1,102,4,2,12,1,0,1,7,2,12,12,2,4,0,4,61,2,12,2,52,4,12,0,4,4,96,0,53,1,1,1,4,4,0
1,Stanford University,West,4,0,8,98,57,8,40,4,2,18,1,98,1,2,2,0,44,0,4,98,61,92,0,0,7,2,1,2,12,98,18,18,3,0,1,1,1,4,18,1,96,0,18,1,8,0,95,1,52,2,2,2,1,0,1
2,Massachusetts Institute of Technology,North East,1,1,0,0,86,1,99,0,0,69,2,0,54,65,61,1,40,5,100,0,2,62,1,3,69,4,2,4,32,4,69,7,4,1,2,5,65,16,69,4,58,1,7,2,0,1,62,2,86,0,0,4,2,1,2
3,Princeton University,North East,2,3,3,16,72,0,95,2,4,7,4,19,8,4,8,3,53,2,3,16,65,86,3,16,18,3,5,0,69,0,2,0,16,2,5,0,2,3,7,8,86,5,69,3,1,3,75,4,79,8,12,8,0,3,3
4,Harvard University,North East,3,8,1,3,53,2,25,8,3,2,3,4,4,3,4,2,36,3,1,3,4,104,5,1,0,0,4,3,0,3,0,69,1,5,3,2,8,1,0,16,103,2,0,4,2,8,32,3,40,54,18,65,3,5,5
5,Yale University,North East,8,2,2,9,40,10,72,5,5,1,6,3,61,8,65,6,92,4,9,4,8,72,2,9,2,8,3,5,2,1,7,32,9,3,4,9,4,9,2,3,104,3,2,5,5,2,36,8,99,4,7,15,8,2,4
6,University of Pennsylvania,North East,5,5,5,1,67,6,57,3,7,0,5,16,16,15,3,7,86,6,19,9,23,82,7,19,27,5,6,9,27,9,14,2,19,9,6,3,3,19,1,15,53,8,27,6,3,5,52,5,67,61,32,61,5,8,9
7,Johns Hopkins University,South East,9,7,7,19,79,3,53,7,6,3,7,9,3,16,16,10,52,9,7,1,16,78,8,41,14,7,9,6,14,8,27,27,41,8,9,8,23,41,8,14,72,6,32,7,7,7,87,6,72,16,14,16,9,7,6
8,"University of California, Berkeley",West,7,10,10,4,82,5,52,6,8,8,9,1,0,18,0,5,103,10,41,41,3,79,6,98,32,6,12,8,91,11,32,52,7,6,10,6,33,7,27,5,25,9,14,8,10,10,20,10,96,27,27,3,6,6,10
9,Columbia University,North East,6,6,6,41,25,11,46,10,9,14,10,8,23,23,54,14,67,8,35,19,33,25,10,4,6,9,10,10,39,41,8,14,11,10,12,10,15,35,32,11,92,10,6,9,6,9,102,9,25,3,8,23,7,10,8
