*race,_candidate_id,_candidate_name,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27
Native,0,KUTSCHBACH Willi,34,24,11,34,28,2,24,11,19,18,3,24,8,11,34,11,11,1,3,34,19,11,19,19,3,3,11
Native,1,BERTOCCO Aldo,11,3,16,18,18,11,19,24,34,23,31,34,11,22,18,36,34,3,25,3,11,23,22,34,34,16,16
Native,2,LOWIE Jules,9,33,24,31,19,28,30,34,24,3,34,18,36,28,2,33,18,31,31,29,3,34,3,28,24,34,24
Black,3,MORELLI Ambrogio,24,19,3,3,2,34,8,2,3,34,2,26,28,16,17,31,2,36,23,11,24,26,34,2,2,29,2
Native,4,HAENDEL Erich,10,35,31,16,23,6,34,18,2,31,18,2,33,26,1,32,5,16,8,36,2,3,9,23,7,7,9
Native,5,STETTLER Kurt,18,2,34,24,13,20,18,26,4,19,24,8,12,34,3,34,14,19,30,6,5,21,23,24,13,24,19
Black,6,PRIOR Antonio,19,34,9,19,27,23,26,3,29,16,19,3,29,19,9,26,3,12,15,20,34,2,24,17,23,28,30
White,7,GIANELLO Dante,23,18,1,33,22,25,3,31,8,2,29,9,34,4,29,2,25,24,24,23,22,5,18,20,19,31,18
Black,8,MOINEAU Julien,2,4,30,7,36,24,31,20,35,20,15,20,26,9,19,18,31,30,19,0,9,13,2,18,33,8,3
Native,9,CLOAREC Pierre,7,28,14,29,33,18,22,6,17,35,8,27,2,33,32,3,27,32,11,25,15,27,27,3,18,15,34
White,10,ICKES Ferdi,4,27,15,28,34,26,23,12,30,24,33,12,18,10,5,12,0,6,34,19,28,33,30,13,35,35,7
White,11,AERTS Jean,27,16,5,1,6,3,27,23,18,33,35,16,3,2,21,20,23,23,33,18,18,24,14,9,16,18,15
White,12,BACHERO Vicente,21,23,2,27,20,31,4,27,23,15,7,6,31,12,28,6,4,18,2,26,13,9,26,16,15,19,21
Black,13,BERTY Charles,12,15,19,6,25,10,11,4,28,26,16,35,6,6,25,10,28,2,5,2,14,29,28,8,28,2,23
Native,14,HARTMANN Fritz,26,1,35,15,24,4,1,10,9,27,14,23,10,14,13,4,15,27,26,31,6,18,21,0,5,14,35
Black,15,COGAN Pierre,15,14,23,32,26,22,32,22,20,14,23,4,4,17,33,0,21,5,18,10,23,6,15,15,11,20,26
Black,16,RUOZZI Gabriel,3,20,25,35,3,30,28,25,15,30,1,30,0,36,7,27,7,33,14,27,7,7,16,27,6,9,1
White,17,GARCIA Manuel,17,9,18,8,31,8,7,0,26,6,20,15,27,1,35,22,32,28,29,4,30,30,7,31,29,13,36
Black,18,MAES Sylvere,28,30,13,9,12,33,15,19,27,29,30,25,22,20,8,23,19,35,35,30,21,20,8,26,36,26,25
White,19,ARCHAMBAUD Maurice,20,32,6,23,10,5,13,15,6,13,11,33,23,23,30,25,24,21,16,33,25,12,10,6,10,23,14
Asian,20,CARDONA Salvador,13,7,10,14,4,32,2,8,5,12,12,10,25,24,16,19,8,15,6,32,4,10,35,4,1,6,27
Black,21,HUBATZ Georges,33,21,27,30,14,13,6,30,16,36,26,28,19,18,24,15,30,9,9,13,8,14,13,1,27,36,31
White,22,STACH Georg,30,29,26,5,5,35,33,33,21,7,32,1,15,3,4,30,17,25,1,28,26,16,6,5,25,30,8
Black,23,THIERBACH Oskar,0,25,28,36,32,7,5,14,33,17,6,32,30,32,6,24,13,7,20,35,16,15,29,12,9,32,33
White,24,SPEICHER Georges,8,8,22,26,35,21,14,5,22,32,22,31,24,15,26,8,1,4,28,7,33,19,12,11,14,12,29
White,25,WECKERLING Otto,25,5,4,2,7,15,20,32,32,1,25,0,14,29,20,14,20,29,32,21,35,4,20,21,20,17,28
Black,26,DIGNEF Antoon,16,11,36,17,21,17,12,1,25,9,36,22,5,7,15,5,9,13,21,15,31,22,11,35,22,33,0
White,27,ROTH Bruno,32,26,7,13,15,16,29,13,11,28,27,7,32,30,12,1,12,34,36,17,36,8,17,14,4,27,22
Native,28,MAUCLAIR Joseph,5,36,32,21,16,9,35,9,13,21,4,14,1,0,22,13,16,20,12,16,10,35,32,36,30,10,4
White,29,CHOCQUE Paul,22,13,0,11,9,29,21,29,1,8,9,17,13,25,10,29,35,14,13,9,17,32,36,25,21,5,6
White,30,FONTENAT Jean,36,22,8,12,29,1,17,35,0,11,17,5,9,27,0,9,26,17,17,1,29,36,4,32,17,21,32
Black,31,TEANI Orlando,29,12,17,0,1,19,9,7,31,5,0,36,35,35,11,35,36,26,7,24,32,28,5,22,31,1,5
White,32,BERNARDONI Oreste,6,6,21,4,11,27,36,17,36,22,5,21,17,31,23,17,6,11,27,12,20,1,33,10,0,4,13
White,33,AMBERG Leo,35,31,29,20,0,12,16,21,7,25,28,29,7,5,31,7,29,8,4,8,0,17,1,7,26,25,20
Black,34,MAES Romain,31,17,20,10,30,14,25,36,10,4,13,11,21,8,14,21,10,0,0,5,12,0,25,29,32,11,10
Asian,35,FAYOLLE Fernand,1,10,12,22,8,36,10,28,14,0,10,19,16,21,36,16,33,10,22,14,27,31,31,30,12,22,17
Black,36,LACHAT Georges,14,0,33,25,17,0,0,16,12,10,21,13,20,13,27,28,22,22,10,22,1,25,0,33,8,0,12
