*race,_candidate_id,_candidate_name,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27
Native,0,KUTSCHBACH Willi,35,25,12,35,29,3,25,12,20,19,4,25,9,12,35,12,12,2,4,35,20,12,20,20,4,4,12
Native,1,BERTOCCO Aldo,12,4,17,19,19,12,20,25,35,24,32,35,12,23,19,37,35,4,26,4,12,24,23,35,35,17,17
Native,2,LOWIE Jules,10,34,25,32,20,29,31,35,25,4,35,19,37,29,3,34,19,32,32,30,4,35,4,29,25,35,25
Black,3,MORELLI Ambrogio,25,20,4,4,3,35,9,3,4,35,3,27,29,17,18,32,3,37,24,12,25,27,35,3,3,30,3
Native,4,HAENDEL Erich,11,36,32,17,24,7,35,19,3,32,19,3,34,27,2,33,6,17,9,37,3,4,10,24,8,8,10
Native,5,STETTLER Kurt,19,3,35,25,14,21,19,27,5,20,25,9,13,35,4,35,15,20,31,7,6,22,24,25,14,25,20
Black,6,PRIOR Antonio,20,35,10,20,28,24,27,4,30,17,20,4,30,20,10,27,4,13,16,21,35,3,25,18,24,29,31
White,7,GIANELLO Dante,24,19,2,34,23,26,4,32,9,3,30,10,35,5,30,3,26,25,25,24,23,6,19,21,20,32,19
Black,8,MOINEAU Julien,3,5,31,8,37,25,32,21,36,21,16,21,27,10,20,19,32,31,20,1,10,14,3,19,34,9,4
Native,9,CLOAREC Pierre,8,29,15,30,34,19,23,7,18,36,9,28,3,34,33,4,28,33,12,26,16,28,28,4,19,16,35
White,10,ICKES Ferdi,5,28,16,29,35,27,24,13,31,25,34,13,19,11,6,13,1,7,35,20,29,34,31,14,36,36,8
White,11,AERTS Jean,28,17,6,2,7,4,28,24,19,34,36,17,4,3,22,21,24,24,34,19,19,25,15,10,17,19,16
White,12,BACHERO Vicente,22,24,3,28,21,32,5,28,24,16,8,7,32,13,29,7,5,19,3,27,14,10,27,17,16,20,22
Black,13,BERTY Charles,13,16,20,7,26,11,12,5,29,27,17,36,7,7,26,11,29,3,6,3,15,30,29,9,29,3,24
Native,14,HARTMANN Fritz,27,2,36,16,25,5,2,11,10,28,15,24,11,15,14,5,16,28,27,32,7,19,22,1,6,15,36
Black,15,COGAN Pierre,16,15,24,33,27,23,33,23,21,15,24,5,5,18,34,1,22,6,19,11,24,7,16,16,12,21,27
Black,16,RUOZZI Gabriel,4,21,26,36,4,31,29,26,16,31,2,31,1,37,8,28,8,34,15,28,8,8,17,28,7,10,2
White,17,GARCIA Manuel,18,10,19,9,32,9,8,1,27,7,21,16,28,2,36,23,33,29,30,5,31,31,8,32,30,14,37
Black,18,MAES Sylvere,29,31,14,10,13,34,16,20,28,30,31,26,23,21,9,24,20,36,36,31,22,21,9,27,37,27,26
White,19,ARCHAMBAUD Maurice,21,33,7,24,11,6,14,16,7,14,12,34,24,24,31,26,25,22,17,34,26,13,11,7,11,24,15
Asian,20,CARDONA Salvador,14,8,11,15,5,33,3,9,6,13,13,11,26,25,17,20,9,16,7,33,5,11,36,5,2,7,28
Black,21,HUBATZ Georges,34,22,28,31,15,14,7,31,17,37,27,29,20,19,25,16,31,10,10,14,9,15,14,2,28,37,32
White,22,STACH Georg,31,30,27,6,6,36,34,34,22,8,33,2,16,4,5,31,18,26,2,29,27,17,7,6,26,31,9
Black,23,THIERBACH Oskar,1,26,29,37,33,8,6,15,34,18,7,33,31,33,7,25,14,8,21,36,17,16,30,13,10,33,34
White,24,SPEICHER Georges,9,9,23,27,36,22,15,6,23,33,23,32,25,16,27,9,2,5,29,8,34,20,13,12,15,13,30
White,25,WECKERLING Otto,26,6,5,3,8,16,21,33,33,2,26,1,15,30,21,15,21,30,33,22,36,5,21,22,21,18,29
Black,26,DIGNEF Antoon,17,12,37,18,22,18,13,2,26,10,37,23,6,8,16,6,10,14,22,16,32,23,12,36,23,34,1
White,27,ROTH Bruno,33,27,8,14,16,17,30,14,12,29,28,8,33,31,13,2,13,35,37,18,37,9,18,15,5,28,23
Native,28,MAUCLAIR Joseph,6,37,33,22,17,10,36,10,14,22,5,15,2,1,23,14,17,21,13,17,11,36,33,37,31,11,5
White,29,CHOCQUE Paul,23,14,1,12,10,30,22,30,2,9,10,18,14,26,11,30,36,15,14,10,18,33,37,26,22,6,7
White,30,FONTENAT Jean,37,23,9,13,30,2,18,36,1,12,18,6,10,28,1,10,27,18,18,2,30,37,5,33,18,22,33
Black,31,TEANI Orlando,30,13,18,1,2,20,10,8,32,6,1,37,36,36,12,36,37,27,8,25,33,29,6,23,32,2,6
White,32,BERNARDONI Oreste,7,7,22,5,12,28,37,18,37,23,6,22,18,32,24,18,7,12,28,13,21,2,34,11,1,5,14
White,33,AMBERG Leo,36,32,30,21,1,13,17,22,8,26,29,30,8,6,32,8,30,9,5,9,1,18,2,8,27,26,21
Black,34,MAES Romain,32,18,21,11,31,15,26,37,11,5,14,12,22,9,15,22,11,1,1,6,13,1,26,30,33,12,11
White,35,FAYOLLE Fernand,2,11,13,23,9,37,11,29,15,1,11,20,17,22,37,17,34,11,23,15,28,32,32,31,13,23,18
Black,36,LACHAT Georges,15,1,34,26,18,1,1,17,13,11,22,14,21,14,28,29,23,23,11,23,2,26,1,34,9,1,13
