_candidate_id,_candidate_name,*region,#R0,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R29,#R30,#R31,#R32,#R33,#R34,#R35,#R36,#R37,#R38,#R39,#R40,#R41,#R42,#R43,#R44,#R45,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53,#R54,#R55,#R56,#R57,#R58,#R59,#R60,#R61,#R62,#R63,#R64,#R65,#R66,#R67,#R68,#R69,#R70,#R71,#R72,#R73,#R74,#R75,#R76,#R77,#R78,#R79,#R80,#R81,#R82,#R83,#R84,#R85,#R86,#R87,#R88,#R89,#R90,#R91,#R92,#R93,#R94,#R95,#R96,#R97,#R98,#R99,#R100,#R101,#R102,#R103,#R104,#R105,#R106,#R107,#R108,#R109,#R110,#R111,#R112,#R113,#R114,#R115,#R116,#R117,#R118,#R119,#R120,#R121,#R122,#R123,#R124,#R125,#R126,#R127,#R128,#R129,#R130,#R131,#R132,#R133,#R134,#R135,#R136,#R137,#R138,#R139,#R140,#R141,#R142,#R143,#R144,#R145,#R146,#R147,#R148,#R149
0,Fresno St,West,28,14,29,28,28,29,6,6,6,28,27,8,27,29,29,6,14,6,6,28,6,27,27,17,6,27,29,28,0,28,29,28,28,27,27,14,6,28,27,29,28,29,28,14,28,28,29,29,6,28,6,28,28,29,6,28,6,27,27,29,8,29,0,6,27,6,14,27,27,29,14,28,27,27,14,27,28,27,29,28,29,27,29,28,6,28,28,0,29,29,28,27,29,29,6,6,8,29,32,28,29,29,6,27,6,17,29,27,28,28,29,6,28,6,14,14,29,28,29,27,28,29,28,29,17,8,27,27,27,27,28,29,28,29,27,28,6,14,14,6,27,6,27,28,29,29,6,27,17,29
1,Army,North East,6,29,14,6,6,14,28,28,28,27,28,17,28,10,10,28,29,28,28,6,28,29,28,29,28,28,14,27,14,6,32,27,6,28,28,29,27,27,28,14,6,36,6,29,6,6,14,14,27,6,27,6,6,10,28,6,28,28,28,14,17,17,14,28,28,28,29,28,28,14,29,6,28,28,29,28,6,28,14,6,8,28,36,6,28,6,27,29,27,14,6,28,17,14,28,28,29,14,29,6,14,8,28,28,28,8,14,6,6,27,17,28,6,27,29,29,14,27,36,28,27,27,6,36,8,17,6,28,28,6,6,36,6,0,29,6,27,29,29,27,6,28,28,6,17,10,28,6,8,17
2,S Illinois,Mid West,27,36,30,27,27,0,27,39,27,6,39,29,6,27,27,27,36,27,27,36,27,10,6,8,27,6,8,6,36,27,10,6,27,6,6,36,28,6,6,30,27,14,27,36,10,27,17,36,28,36,28,27,27,32,27,27,27,6,6,17,29,8,29,27,6,27,30,6,6,30,8,27,6,6,0,6,27,6,0,27,17,6,14,27,27,27,6,14,32,36,27,6,36,8,39,27,17,17,10,27,21,17,27,6,27,29,36,28,27,6,8,27,36,28,36,30,36,6,14,6,6,10,36,14,29,14,28,6,6,28,27,14,27,36,10,27,28,36,0,28,28,27,6,27,8,27,27,28,5,36
3,Princeton,North East,36,30,21,25,36,30,36,27,39,36,6,0,36,32,34,36,8,25,39,27,39,36,36,36,36,39,17,36,29,10,14,36,25,39,36,30,36,36,36,21,36,0,36,0,27,39,8,8,36,27,36,36,36,27,39,30,36,39,39,8,36,14,30,36,39,39,8,39,36,21,17,36,39,39,36,36,36,36,30,29,14,39,0,25,36,36,36,30,10,8,36,39,8,0,27,39,0,8,14,36,30,14,36,36,36,0,8,30,9,36,14,36,27,36,0,0,8,36,0,36,36,32,27,0,14,29,39,36,36,39,36,0,36,14,32,10,39,30,8,36,36,36,36,36,14,34,36,36,29,8
4,Ark Pine Bluff,South East,10,0,8,30,25,8,39,10,10,10,36,14,39,25,25,10,0,39,10,10,36,34,39,14,25,9,0,10,17,29,27,10,22,36,39,0,39,30,39,0,25,8,10,30,22,9,36,17,25,9,39,10,10,30,10,25,10,36,36,0,14,0,17,25,9,10,0,36,10,0,36,10,36,36,21,25,25,39,17,39,36,36,10,39,10,10,39,8,36,17,10,36,14,17,9,36,14,36,27,10,8,36,10,39,10,14,17,10,39,10,32,10,25,10,30,17,17,39,10,39,10,34,25,8,0,36,38,10,10,36,25,8,10,21,25,39,10,0,17,9,25,10,39,25,36,25,25,25,14,14
5,Marist,North East,30,21,0,39,15,17,10,9,36,25,9,5,25,34,36,25,17,15,25,25,9,14,9,5,39,10,36,15,30,15,34,39,10,25,25,8,10,39,9,8,10,30,25,17,39,10,30,0,9,25,10,39,30,16,9,36,25,25,9,36,32,36,36,10,36,9,21,9,39,8,30,15,9,38,30,39,39,38,36,10,32,10,30,10,25,25,10,17,30,30,15,9,0,30,25,10,34,30,2,15,0,32,39,9,25,36,0,36,25,15,0,25,39,39,8,36,30,9,30,9,39,25,10,10,36,32,36,9,25,9,39,30,15,30,30,25,36,21,30,10,39,25,10,9,0,30,9,39,0,0
6,Purdue,Mid West,39,17,17,10,10,36,30,36,22,39,38,6,10,30,30,39,30,22,15,15,38,32,10,0,10,36,30,25,8,39,30,22,39,9,10,17,25,10,10,36,39,10,15,21,25,25,26,30,39,10,9,30,39,36,29,39,15,9,10,30,0,27,8,15,25,15,17,22,9,36,32,25,38,9,17,10,10,10,8,8,21,9,8,9,39,15,25,36,34,21,25,10,7,36,10,25,5,0,16,25,17,0,30,10,15,5,21,29,10,25,30,15,9,9,17,21,32,10,8,38,15,30,15,17,5,0,9,39,39,38,15,10,25,17,34,22,9,17,36,25,10,15,9,10,26,32,10,10,32,7
7,C Michigan,Mid West,15,8,6,9,39,21,25,30,25,15,25,32,15,36,14,30,21,10,36,39,25,25,22,32,15,38,21,39,21,25,16,9,36,22,9,21,22,38,25,17,15,26,22,8,2,22,0,21,10,15,38,38,15,14,25,10,39,15,25,26,26,1,21,39,10,25,6,25,30,17,0,9,10,10,8,9,15,9,21,25,0,38,26,38,15,9,22,21,14,32,39,38,5,10,36,9,27,32,30,39,6,30,25,22,39,32,30,15,22,39,36,39,15,38,21,8,21,25,26,10,9,36,9,26,32,26,10,15,9,10,10,17,39,8,21,36,38,8,21,39,9,9,30,15,5,36,39,15,36,5
8,WKU,South East,9,15,15,22,9,10,9,38,15,30,10,26,9,21,11,15,15,36,22,22,30,30,25,7,9,25,26,22,15,9,2,15,15,10,15,15,15,25,15,6,9,17,39,15,36,36,32,26,15,39,25,15,25,25,22,15,9,10,38,21,5,34,26,9,22,36,15,38,38,6,26,22,25,25,7,15,22,30,15,9,30,25,17,15,9,39,30,15,25,0,22,25,32,26,38,30,32,26,36,30,7,21,15,25,30,7,26,8,38,30,34,22,10,30,15,26,0,22,17,25,30,21,39,30,7,30,25,30,15,25,22,26,30,26,36,9,25,15,26,15,15,39,38,39,32,21,15,9,33,32
9,Cornell,North East,25,26,34,15,22,15,22,25,9,22,15,36,22,11,32,22,26,9,9,9,10,21,15,1,22,15,15,30,26,36,36,25,38,38,22,26,9,15,22,10,22,21,30,26,38,30,21,32,38,22,30,25,22,34,36,22,22,22,15,10,15,32,15,22,15,29,36,15,15,34,21,39,15,30,26,22,9,25,10,22,26,15,15,22,22,22,15,34,16,26,30,15,1,15,30,38,1,10,34,22,26,26,22,15,22,33,7,39,15,9,15,30,22,25,26,15,26,15,15,30,25,11,22,15,33,13,30,25,22,15,9,21,22,7,11,15,15,26,10,22,22,22,15,22,7,11,22,22,7,1
