*race,_candidate_id,_candidate_name,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R29,#R30,#R31,#R32,#R33,#R34,#R35,#R36,#R37,#R38,#R39,#R40,#R41,#R42,#R43,#R44,#R45,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53
Native,0,Kevin Curren,51,60,60,60,60,60,60,51,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,60,60,60,60,60,60,51
Native,1,Scott Davis,59,59,59,59,51,51,59,59,59,59,59,59,59,59,51,51,51,51,51,51,51,59,59,51,51,51,51,51,60,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,51,51,59,59
Native,2,Andrei Chesnokov,60,51,51,51,59,59,51,60,51,51,51,51,51,51,59,59,59,59,59,59,59,51,51,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,51,51,51,59,59,51,60
Black,3,John McEnroe,27,49,49,49,27,49,61,27,49,49,4,4,49,49,27,27,27,27,27,27,49,61,61,61,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,49,49,49,27,49,61,27
Native,4,Thomas Muster,20,4,48,27,49,27,27,61,4,4,49,49,4,4,49,49,49,49,49,49,27,27,27,27,61,61,61,61,61,61,61,61,61,61,20,20,20,20,20,20,20,20,20,20,20,20,4,48,27,49,27,27,61
Native,5,Jordi Arrese,61,48,4,4,4,13,49,5,48,48,48,27,13,13,4,13,13,13,13,13,61,49,49,49,49,49,49,5,49,5,20,20,20,20,61,61,61,61,61,61,61,61,61,61,61,61,48,4,4,4,13,49,5
Black,6,Jim Courier,5,13,13,13,13,61,5,11,13,13,27,13,48,48,13,43,43,11,61,61,13,5,5,5,5,11,11,49,5,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,13,13,13,61,5,11
White,7,Alex Antonitsch,11,27,27,48,43,11,13,49,27,27,13,55,27,27,43,4,4,43,11,11,11,13,13,13,13,5,5,11,11,49,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,27,27,48,43,11,13,49
Black,8,Guillermo Perez-Roldan,23,43,29,43,48,5,11,13,43,43,18,48,55,55,48,61,61,4,43,4,5,11,11,11,11,13,13,13,13,13,49,49,49,4,4,49,4,49,23,23,23,23,23,23,23,23,43,29,43,48,5,11,13
Native,9,Paul Haarhuis,49,57,18,55,55,3,4,3,57,57,43,43,43,43,11,48,48,61,4,43,3,4,4,57,57,57,43,48,48,3,13,13,23,49,49,4,49,23,49,49,49,49,49,49,49,49,57,18,55,55,3,4,3
White,10,Emilio Sanchez,28,55,43,18,57,4,57,48,55,55,57,18,18,18,55,11,11,48,57,57,4,57,57,3,3,3,48,43,3,48,4,23,4,23,23,23,23,4,28,28,28,28,28,28,28,28,55,43,18,57,4,57,48
White,11,Jim Grabb,3,29,57,29,18,43,3,20,18,11,55,57,29,29,57,55,55,3,48,48,43,3,3,4,4,4,4,4,20,20,48,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,29,57,29,18,43,3,20
White,12,Aaron Krickstein,4,41,55,57,11,57,43,23,61,18,29,29,57,57,18,57,57,55,55,55,57,43,43,43,43,23,3,3,43,43,3,48,13,13,13,13,48,48,4,4,4,4,4,4,4,4,41,55,57,11,57,43,23
Black,13,Petr Korda,9,18,41,61,41,48,55,43,41,61,41,41,61,61,61,18,18,57,3,17,48,55,55,7,7,9,57,20,17,7,23,3,9,9,48,48,33,33,33,9,9,9,9,9,9,9,18,41,61,41,48,55,43
Native,14,Christo Van Rensburg,48,3,3,41,61,55,7,9,11,41,3,3,41,41,7,7,7,7,7,3,55,17,17,17,17,43,20,17,23,23,9,33,48,33,9,33,9,9,9,43,43,48,48,48,48,48,3,3,41,61,55,7,9
Black,15,Todd Witsken,33,11,11,7,7,17,17,7,42,3,11,11,20,20,41,41,41,18,5,7,17,7,7,28,28,7,23,23,9,9,43,9,33,48,33,9,28,28,48,48,48,33,33,33,33,33,11,11,7,7,17,17,7
Black,16,Juan Aguilera,36,61,61,11,20,7,58,57,3,42,61,61,11,3,20,3,20,20,18,5,7,58,58,58,20,17,9,9,7,57,7,43,43,43,28,28,43,43,43,33,33,36,36,36,36,36,61,61,11,20,7,58,57
White,17,Mats Wilander,43,42,42,20,29,18,28,33,1,1,42,42,3,11,42,20,9,41,41,18,18,28,28,20,55,28,7,57,4,17,57,7,7,17,43,43,13,13,17,36,36,43,43,43,43,43,42,42,20,29,18,28,33
Black,18,Franco Davin,17,1,1,3,42,58,20,17,29,29,7,7,42,42,3,9,3,5,20,20,58,20,9,55,33,20,17,7,57,28,33,17,28,7,17,17,17,17,13,17,17,17,17,17,17,17,1,1,3,42,58,20,17
White,19,Pete Sampras,13,32,7,42,3,20,9,4,7,32,1,1,7,58,58,42,42,42,42,58,20,9,33,33,58,55,28,28,28,33,17,28,17,28,57,57,57,57,58,13,13,13,13,13,13,13,32,7,42,3,20,9,4
Asian,20,Richey Reneberg,26,7,32,58,5,9,33,28,15,7,32,32,58,7,29,58,58,9,9,41,9,33,20,9,9,33,33,33,33,4,28,42,57,57,7,7,7,58,40,40,40,26,26,26,26,26,7,32,58,5,9,33,28
Black,21,Amos Mansdorf,40,5,38,5,58,41,48,42,32,5,12,38,1,28,28,32,29,58,28,9,41,18,41,48,40,58,58,55,58,42,42,57,42,58,58,21,42,21,7,26,26,40,40,40,40,40,5,38,5,58,41,48,42
White,22,Goran Ivanisevic,21,38,36,28,28,33,41,58,38,15,15,15,32,1,15,29,32,28,58,14,33,41,18,23,48,48,55,58,55,58,58,58,58,42,42,58,21,7,21,21,21,21,21,21,21,21,38,36,28,28,33,41,58
Black,23,Jean-Philippe Fleurian,7,25,15,1,1,28,18,55,25,38,38,58,38,14,9,28,28,32,14,28,28,48,48,41,23,40,40,42,42,55,36,36,36,36,36,45,58,40,57,7,7,7,7,7,7,7,25,15,1,1,28,18,55
White,24,Jan Gunnarsson,42,15,9,14,14,14,14,36,36,25,52,52,14,38,14,15,15,17,17,29,14,14,14,14,14,12,42,40,40,36,40,37,37,37,21,36,40,42,36,42,42,42,42,42,42,42,15,9,14,14,14,14,36
White,25,Andrei Cherkasov,52,36,52,38,38,29,29,40,23,36,9,12,28,34,32,34,34,29,29,33,29,29,29,29,29,42,12,37,36,40,37,40,45,26,45,26,45,52,42,52,52,52,52,52,52,52,36,52,38,38,29,29,40
Black,26,Andre Agassi,32,23,5,32,9,40,40,37,9,9,20,45,15,5,34,14,14,38,32,6,42,40,40,40,41,14,14,14,37,37,21,45,21,14,37,42,36,36,52,32,32,32,32,32,32,32,23,5,32,9,40,40,37
White,27,Jonas Svensson,45,9,12,34,34,42,42,50,12,12,5,9,45,32,38,38,38,6,6,42,34,42,42,18,52,29,29,50,6,21,50,50,14,45,19,22,26,45,32,57,57,45,45,45,45,45,9,12,34,34,42,42,50
Native,28,Yannick Noah,58,58,45,9,32,34,34,21,58,23,45,20,12,15,5,5,5,14,34,32,54,34,34,52,42,37,41,41,14,6,6,21,26,21,26,37,22,26,45,45,45,58,58,58,58,58,58,45,9,32,34,34,21
