,_candidate_id,_candidate_name,*region,#R2017_scores_overall,#R2017_scores_teaching,#R2017_scores_research,#R2017_scores_citations,#R2017_scores_industry_income,#R2017_scores_international_outlook,#R2017_stats_pc_intl_students,#R2018_scores_overall,#R2018_scores_teaching,#R2018_scores_research,#R2018_scores_citations,#R2018_scores_industry_income,#R2018_scores_international_outlook,#R2018_stats_pc_intl_students,#R2019_scores_overall,#R2019_scores_teaching,#R2019_scores_research,#R2019_scores_citations,#R2019_scores_industry_income,#R2019_scores_international_outlook,#R2019_stats_pc_intl_students,#R2020_Score_Result,#R2020_International_Students,#R2020_Teaching,#R2020_Research,#R2020_Citations,#R2020_Industry_Income,#R2020_International_Outlook,#R2021_overall score,#R2021_teaching score,#R2021_research score,#R2021_citations score,#R2021_industry income score,#R2021_intl outlook score,#R2022_scores_overall,#R2022_scores_teaching,#R2022_scores_research,#R2022_scores_citations,#R2022_scores_industry_income,#R2022_scores_international_outlook,#R2022_stats_pc_intl_students,#R2023_scores_overall,#R2023_scores_teaching,#R2023_scores_research,#R2023_scores_citations,#R2023_scores_industry_income,#R2023_scores_international_outlook,#R2023_stats_pc_intl_students,#R2024_scores_overall,#R2024_scores_teaching,#R2024_scores_research,#R2024_scores_citations,#R2024_scores_industry_income,#R2024_scores_international_outlook,#R2024_stats_pc_intl_students
0,0,California Institute of Technology,West,0,0,4,1,7,2,46,0,0,4,2,12,2,53,1,0,4,1,12,2,104,0,102,1,4,61,12,2,1,4,4,1,12,2,0,4,4,1,12,2,52,4,4,4,1,12,2,96,1,1,4,2,1,2,96
1,1,Stanford University,West,1,1,8,2,12,4,44,1,1,0,1,18,4,52,2,1,0,2,18,3,57,1,92,0,0,1,7,0,4,0,8,61,18,98,4,0,0,2,18,98,96,1,1,0,2,18,98,40,2,2,8,1,2,98,95
2,2,Massachusetts Institute of Technology,North East,2,2,1,0,32,100,40,2,2,1,54,7,16,86,0,2,1,61,7,4,86,2,62,5,1,65,69,3,0,1,0,2,69,0,1,1,1,4,69,0,58,2,5,1,65,69,0,99,4,4,0,4,0,4,62
3,3,Princeton University,North East,4,3,0,8,69,3,53,4,5,3,8,0,3,79,4,5,3,8,69,16,72,3,86,2,3,2,18,16,2,5,1,65,7,16,2,2,3,8,7,16,86,0,0,3,4,2,19,95,3,0,3,8,12,0,75
4,4,Harvard University,North East,3,5,2,54,0,1,36,3,3,2,4,69,1,40,3,4,5,4,0,1,53,4,104,3,5,8,0,1,8,2,2,4,0,3,3,5,8,65,2,3,103,3,2,8,3,0,4,25,0,3,1,16,18,3,32
5,5,Yale University,North East,8,4,10,4,2,9,92,6,4,6,61,32,9,99,5,3,2,65,2,9,40,5,72,4,2,4,2,9,5,3,5,8,2,9,8,3,2,15,1,4,104,8,9,2,8,7,3,72,8,5,2,3,7,1,36
6,6,University of Pennsylvania,North East,5,9,6,61,27,19,86,5,6,7,16,2,19,67,7,6,8,3,27,19,67,6,82,6,7,3,27,19,3,8,3,23,1,1,5,9,5,61,0,9,53,5,3,5,15,14,16,57,5,9,5,15,32,9,52
7,7,Johns Hopkins University,South East,6,6,3,16,14,7,52,7,9,10,3,27,41,72,6,9,7,16,32,41,79,7,78,9,8,23,14,41,7,6,7,16,8,19,9,8,7,16,3,1,72,9,8,7,16,27,9,53,7,6,7,14,14,8,87
8,8,"University of California, Berkeley",West,10,10,5,27,91,41,103,9,10,5,0,52,7,96,8,12,6,0,14,7,82,8,79,10,6,33,32,98,6,9,10,3,27,4,7,6,10,3,8,41,25,6,6,10,18,32,1,52,6,8,10,5,27,11,20
9,9,Columbia University,North East,9,8,11,3,39,35,67,10,12,14,23,14,35,25,9,10,10,54,6,11,25,9,25,8,10,15,6,4,10,10,6,33,32,41,6,10,9,23,14,19,92,7,10,6,23,8,8,46,9,10,6,11,8,41,102
10,10,"University of California, Los Angeles",West,7,12,13,23,44,59,25,12,8,11,15,91,11,103,10,7,13,23,91,35,80,10,57,12,13,7,91,11,9,7,13,15,6,7,10,7,6,33,32,8,57,11,11,9,33,6,11,86,10,11,9,6,6,16,57
11,11,Cornell University,North East,12,11,14,41,18,95,79,8,13,13,65,39,59,66,12,13,11,15,1,70,99,11,96,7,11,16,1,7,11,12,11,14,35,11,11,12,11,18,27,11,66,10,7,11,14,35,27,58,11,13,11,18,44,19,84
12,12,Duke University,South East,11,13,7,18,52,64,80,11,11,8,27,35,95,80,11,11,14,27,39,8,85,12,53,11,14,9,35,35,12,13,14,6,14,38,12,11,13,0,6,7,78,13,13,13,0,44,41,103,13,7,13,23,38,7,25
13,13,University of Michigan-Ann Arbor,Mid West,14,7,16,12,35,5,99,14,7,16,9,58,27,85,13,8,9,9,35,38,96,13,103,13,16,6,39,38,13,11,9,5,19,8,13,13,17,14,19,27,99,17,12,17,11,3,7,92,16,12,16,9,3,27,46
14,14,Northwestern University,Mid West,13,14,21,15,19,0,83,13,17,9,41,1,38,62,16,17,16,7,52,5,103,14,99,17,9,0,19,70,14,17,16,9,39,70,14,17,14,9,39,38,85,12,17,15,9,1,17,66,15,15,17,7,19,5,92
