_candidate_id,_candidate_name,*continent,#2010 Life Ladder,#2010 Log GDP per capita,#2010 Social support,#2010 Healthy life expectancy at birth,#2010 Freedom to make life choices,#2010 Generosity,#2010 Perceptions of corruption,#2010 Democratic Quality,#2010 Delivery Quality,#2011 Life Ladder,#2011 Log GDP per capita,#2011 Social support,#2011 Healthy life expectancy at birth,#2011 Freedom to make life choices,#2011 Generosity,#2011 Perceptions of corruption,#2011 Democratic Quality,#2011 Delivery Quality,#2012 Life Ladder,#2012 Log GDP per capita,#2012 Social support,#2012 Healthy life expectancy at birth,#2012 Freedom to make life choices,#2012 Generosity,#2012 Perceptions of corruption,#2012 Democratic Quality,#2012 Delivery Quality,#2013 Life Ladder,#2013 Log GDP per capita,#2013 Social support,#2013 Healthy life expectancy at birth,#2013 Freedom to make life choices,#2013 Generosity,#2013 Perceptions of corruption,#2013 Democratic Quality,#2013 Delivery Quality,#2014 Life Ladder,#2014 Log GDP per capita,#2014 Social support,#2014 Healthy life expectancy at birth,#2014 Freedom to make life choices,#2014 Generosity,#2014 Perceptions of corruption,#2014 Democratic Quality,#2014 Delivery Quality,#2015 Life Ladder,#2015 Log GDP per capita,#2015 Social support,#2015 Healthy life expectancy at birth,#2015 Freedom to make life choices,#2015 Generosity,#2015 Perceptions of corruption,#2015 Democratic Quality,#2015 Delivery Quality,#2016 Life Ladder,#2016 Log GDP per capita,#2016 Social support,#2016 Healthy life expectancy at birth,#2016 Freedom to make life choices,#2016 Generosity,#2016 Perceptions of corruption,#2016 Democratic Quality,#2016 Delivery Quality,#2017 Life Ladder,#2017 Log GDP per capita,#2017 Social support,#2017 Healthy life expectancy at birth,#2017 Freedom to make life choices,#2017 Generosity,#2017 Perceptions of corruption,#2017 Democratic Quality,#2017 Delivery Quality
0,Afghanistan,Asia,20,43,51,66,20,70,20,43,24,20,43,36,66,43,35,20,51,20,67,43,36,66,11,70,20,24,24,13,43,20,66,51,70,20,51,24,20,43,36,66,67,70,20,51,24,20,43,51,66,11,35,51,51,51,24,43,36,66,11,35,20,51,51,24,43,24,66,11,35,20,51,51
1,Argentina,South America,13,76,20,38,11,35,67,24,20,50,76,3,38,36,11,67,43,24,20,76,20,38,67,75,67,43,67,20,76,51,38,11,35,43,43,20,37,76,56,25,20,35,67,43,51,24,36,20,25,51,51,20,43,24,20,36,20,25,24,70,67,43,24,20,36,51,25,24,31,24,43,24
2,Armenia,Asia,50,50,36,37,13,75,51,51,67,4,50,20,18,13,70,51,24,51,50,50,13,18,3,35,51,51,20,4,36,36,18,67,75,24,24,67,24,36,20,38,13,41,24,24,20,51,76,66,18,20,3,24,13,67,50,76,75,18,20,40,24,13,67,50,76,20,18,20,3,51,24,67
3,Australia,Oceania,67,36,67,18,3,11,3,67,51,37,36,51,37,3,36,24,67,67,24,36,4,25,20,36,26,67,51,24,50,4,25,3,36,51,4,51,50,50,24,18,43,75,51,67,67,13,50,36,38,67,70,67,24,20,67,50,24,13,51,31,51,67,50,13,50,3,38,13,51,67,13,50
4,Austria,Europe,78,20,50,3,50,36,50,4,50,13,4,75,25,67,3,26,20,43,13,4,3,13,17,31,24,50,50,46,20,24,13,4,13,67,67,50,51,20,66,13,11,51,43,4,50,50,67,3,13,43,31,3,4,50,3,67,48,38,70,51,43,24,20,37,67,36,13,51,75,43,67,20
5,Azerbaijan,Asia,3,4,75,25,51,50,24,20,13,3,20,48,13,4,75,50,50,50,4,20,50,37,24,51,3,4,43,67,4,56,37,20,50,26,50,43,13,4,6,37,24,50,36,50,13,3,20,24,37,13,75,43,67,43,13,20,63,3,3,75,13,50,13,51,20,9,3,17,40,36,50,13
6,Belgium,Europe,24,67,3,13,24,3,13,50,43,67,67,27,3,24,50,3,4,3,46,67,25,3,4,50,43,20,13,50,67,75,3,50,31,13,20,13,3,67,48,3,51,3,26,13,43,67,4,63,3,24,50,36,50,75,51,3,3,37,67,50,36,20,43,4,4,75,37,67,50,13,20,43
7,Bolivia,South America,37,3,13,51,43,54,43,36,3,24,27,66,51,51,20,43,13,13,17,27,66,51,13,13,75,13,3,3,3,13,51,24,76,3,13,3,17,27,51,51,17,31,13,20,3,37,27,13,43,3,13,50,20,13,37,4,66,51,13,3,3,3,3,67,27,50,51,58,36,50,4,27
8,Botswana,Africa,55,6,43,67,67,51,26,3,4,55,3,4,67,20,51,13,3,75,51,3,75,67,43,3,50,3,27,37,27,48,43,13,3,50,3,75,67,3,27,43,3,13,3,3,27,4,3,75,51,77,49,27,36,27,17,27,43,43,58,13,50,4,27,3,3,13,4,70,70,3,36,3
9,Bulgaria,Europe,4,13,66,43,4,20,77,13,75,17,13,50,43,11,13,75,6,27,3,13,78,43,58,11,13,6,75,51,13,64,67,56,51,36,27,27,76,13,70,67,36,36,50,36,75,27,13,43,67,58,40,13,3,3,4,13,56,67,50,49,27,77,75,17,13,25,43,52,76,27,59,75
10,Burkina Faso,Africa,17,27,25,36,64,76,53,6,27,51,6,24,36,70,31,53,36,36,37,6,56,36,27,0,36,36,4,76,6,27,4,58,40,27,6,4,36,6,67,4,50,11,27,27,36,6,6,39,4,17,36,75,77,36,36,6,42,4,64,69,75,36,4,75,6,64,67,64,41,75,3,4
11,Cambodia,Asia,36,24,27,29,58,13,4,27,36,76,24,6,29,17,56,77,27,4,78,24,51,4,64,56,25,27,36,17,24,66,36,75,20,75,36,36,70,24,61,36,21,76,75,77,4,76,24,67,50,50,41,6,27,4,43,24,51,50,4,36,6,59,36,27,24,42,59,50,67,4,77,76
12,Cameroon,Africa,51,25,24,50,28,31,75,19,76,6,25,43,4,50,18,36,19,6,76,25,67,50,36,76,77,63,76,43,75,3,50,17,4,6,63,6,27,75,63,50,77,15,6,6,76,17,75,42,36,4,20,26,59,6,6,75,64,36,77,37,4,27,76,43,75,48,36,30,13,6,19,36
13,Canada,North America,76,75,19,4,17,30,36,77,6,43,75,64,50,64,0,25,77,76,36,75,24,29,51,69,46,19,6,6,25,70,29,27,11,77,19,15,4,25,3,29,58,67,77,19,6,36,25,4,59,64,76,4,19,76,27,25,19,29,55,27,26,19,6,36,25,17,50,3,20,26,27,6
14,Chad,Africa,43,38,78,75,70,37,25,63,25,36,38,78,75,27,67,72,64,15,43,38,6,75,75,15,52,64,15,27,38,76,75,6,49,46,42,76,43,51,1,75,70,40,4,63,15,43,51,1,29,36,11,5,6,25,75,51,6,59,43,73,5,64,25,76,51,6,29,36,49,25,64,25
15,Chile,South America,75,18,6,27,36,67,68,64,15,25,18,76,59,25,76,68,63,25,6,51,27,59,50,37,27,59,25,75,51,50,59,64,67,52,77,25,6,38,13,59,27,48,45,64,25,1,38,27,75,27,67,25,64,15,46,38,39,75,7,67,25,42,37,6,38,76,75,59,37,77,63,37
16,Colombia,South America,6,66,55,59,25,0,27,25,18,46,51,13,27,75,48,27,59,18,75,18,63,27,77,54,72,76,18,55,37,77,6,21,37,22,64,18,15,37,17,24,55,49,53,59,37,77,66,61,24,70,27,22,63,37,76,66,38,20,36,76,68,6,15,19,66,38,20,43,27,31,6,59
17,Costa Rica,North America,46,51,1,6,27,69,76,59,66,75,66,25,6,58,37,31,25,37,55,66,64,6,30,20,45,25,37,36,66,43,27,77,48,31,59,37,75,66,75,20,64,54,46,17,18,19,37,56,20,7,48,77,17,59,19,37,4,24,17,20,77,17,59,25,37,37,27,55,4,5,42,15
18,Cyprus,Asia,25,37,76,20,75,4,46,15,37,1,37,67,24,6,4,76,76,66,27,37,42,24,7,67,76,77,66,15,18,38,24,30,18,45,75,59,46,18,50,6,4,4,5,42,59,55,19,19,6,1,73,10,75,18,15,19,9,6,21,28,39,63,42,55,19,39,6,32,68,69,18,19
19,Czech Republic,Europe,23,29,63,24,77,32,23,17,59,18,64,63,20,35,15,46,18,59,25,19,48,20,6,4,68,75,59,19,19,67,20,36,54,4,17,66,1,19,64,27,7,20,25,75,42,15,18,78,27,6,69,76,76,42,25,18,50,27,27,15,10,75,64,52,18,67,24,77,69,72,17,42
20,Denmark,Europe,27,64,64,17,76,15,6,75,64,70,19,19,17,39,32,22,75,64,15,64,16,17,52,38,31,17,64,25,64,42,17,25,15,72,76,64,55,64,42,17,76,0,44,76,19,75,64,74,17,30,18,53,42,19,1,64,13,17,6,32,79,18,66,46,64,77,17,56,48,52,75,18
21,Dominican Republic,North America,15,19,65,64,8,49,15,42,19,27,59,38,64,59,43,4,33,19,1,63,43,64,70,48,10,42,19,16,63,1,64,52,34,5,25,42,77,63,16,64,6,30,22,18,66,30,63,38,64,65,24,46,18,66,30,63,41,64,30,54,8,76,19,63,63,63,64,4,11,76,8,64
22,Ecuador,South America,1,59,17,15,21,56,0,33,77,78,29,42,15,76,24,23,17,77,77,59,19,15,25,18,21,18,42,1,59,63,15,7,0,25,8,19,30,42,35,15,75,52,54,25,64,16,42,9,15,8,37,39,8,64,66,42,67,15,56,4,52,66,18,23,42,55,15,34,28,58,15,66
23,El Salvador,North America,16,63,4,76,53,27,45,76,42,77,63,39,76,28,45,10,42,33,16,61,65,55,21,73,22,8,77,78,61,6,55,16,73,53,18,77,19,59,78,55,68,74,68,15,77,66,59,48,55,21,4,45,15,77,16,59,61,55,8,41,21,15,77,77,59,16,19,7,32,54,25,77
24,Finland,Europe,18,61,61,55,16,43,71,18,33,15,61,16,55,77,58,6,15,42,19,29,33,76,39,40,78,33,8,77,42,37,76,53,68,15,33,8,25,61,76,19,59,69,52,38,8,25,33,76,19,28,0,54,38,8,77,33,70,19,19,48,76,38,63,30,33,1,55,22,73,68,76,26
25,France,Europe,38,33,48,19,6,48,78,8,63,66,42,33,19,21,73,44,8,63,70,42,70,19,16,49,6,38,33,23,29,25,19,55,56,76,15,33,66,33,77,76,30,43,62,8,63,46,61,64,77,76,52,52,25,63,23,61,27,77,32,11,69,8,26,15,72,4,77,76,6,10,66,63
26,Georgia,Asia,30,42,39,77,73,24,17,38,8,16,33,37,77,34,40,0,38,8,66,33,37,77,22,27,5,15,63,70,33,17,77,12,69,8,38,63,16,29,4,77,73,37,76,66,26,70,29,65,76,55,45,68,33,26,55,29,59,76,1,0,56,48,8,42,61,43,63,35,18,8,38,8
27,Germany,Europe,19,39,70,1,66,28,10,9,17,19,39,17,1,65,27,45,66,17,18,39,76,1,76,77,4,66,17,66,39,16,1,28,30,21,66,17,52,39,41,1,40,27,31,33,17,63,39,25,1,68,54,58,66,17,22,72,78,1,22,52,72,33,17,66,29,66,1,46,43,22,33,33
28,Ghana,Africa,70,15,33,63,12,45,21,66,38,38,15,41,63,46,55,15,9,38,64,15,17,63,78,34,58,9,26,22,15,74,63,76,52,44,48,26,63,72,38,63,52,18,8,48,33,23,72,21,63,75,6,21,48,33,70,39,17,63,49,14,34,25,38,38,39,56,76,41,54,17,48,38
29,Greece,Europe,66,1,77,22,52,18,56,29,29,64,72,77,22,55,14,1,29,29,7,72,1,22,8,43,56,28,38,38,72,78,22,43,24,58,65,38,78,15,21,22,34,64,15,55,38,47,15,77,22,25,30,17,55,38,52,15,77,22,59,34,22,55,33,64,60,19,22,6,56,79,55,17
30,Guatemala,North America,64,72,16,46,15,68,7,60,65,63,1,1,46,44,28,56,48,26,47,1,61,46,46,17,0,65,29,30,1,55,46,59,64,68,29,29,42,55,37,46,25,7,21,65,29,61,55,16,46,41,43,62,60,29,63,60,33,46,16,74,17,60,60,16,15,59,46,21,74,39,9,9
31,Haiti,North America,77,60,56,57,39,17,65,48,72,57,60,70,57,66,54,52,28,65,22,77,74,57,55,58,53,48,72,64,55,39,57,22,55,10,9,72,61,77,9,57,16,32,56,29,65,22,60,6,57,52,12,34,28,60,60,55,76,57,35,43,58,1,65,60,55,61,57,40,52,21,1,60
32,Honduras,North America,63,77,41,78,68,34,30,65,26,22,77,61,16,12,21,78,65,72,23,55,55,16,59,28,15,29,65,63,77,19,16,39,17,23,28,65,38,60,65,16,19,73,72,60,72,39,77,55,16,19,15,31,9,65,38,77,21,16,57,30,54,29,9,33,77,78,16,49,47,49,28,29
33,Hungary,Europe,32,78,74,16,34,40,52,28,9,47,55,69,9,1,30,11,60,9,63,60,79,32,35,52,23,60,9,56,60,61,70,70,27,54,60,60,39,1,19,70,39,17,23,9,60,52,1,50,52,56,68,37,65,9,64,1,46,52,60,10,32,65,29,18,1,21,52,27,14,45,29,65
34,India,Asia,56,5,37,9,19,58,22,55,60,7,78,73,33,8,63,58,55,55,30,78,52,52,12,30,44,1,55,39,78,21,32,35,21,65,1,9,22,78,25,32,12,55,71,28,9,38,9,17,32,57,10,44,1,72,42,9,37,70,75,68,0,9,70,1,9,27,33,60,24,53,60,70
35,Indonesia,Asia,29,46,42,33,46,64,44,1,55,30,46,55,78,16,49,21,1,60,38,46,39,70,66,55,17,21,60,57,5,73,52,8,58,7,21,55,47,5,74,52,65,56,58,1,55,7,46,45,70,22,64,23,29,55,61,46,74,33,34,47,62,28,55,32,46,41,70,16,53,23,65,55
36,Ireland,Europe,22,55,46,32,62,52,72,23,28,39,5,21,52,22,52,28,23,28,57,5,73,33,68,32,55,55,28,52,46,33,33,73,6,11,55,28,57,46,43,33,8,28,17,21,70,60,5,70,33,59,56,72,21,70,56,5,25,32,41,53,23,21,72,70,70,15,32,25,64,34,21,72
37,Israel,Asia,54,9,38,52,78,6,58,21,71,56,9,47,70,19,6,5,21,70,56,9,21,9,56,47,8,23,70,7,9,52,9,66,10,17,62,70,7,9,55,9,46,10,10,23,16,64,78,59,60,60,55,55,62,16,18,8,1,60,23,12,37,62,16,39,5,70,60,68,15,32,62,28
38,Italy,Europe,7,70,29,70,57,14,8,44,70,28,8,56,32,32,38,39,47,16,42,70,38,78,1,45,1,47,46,47,8,59,60,41,32,55,23,46,23,8,72,60,23,68,30,62,28,42,8,37,9,40,74,79,23,28,7,70,55,9,25,22,46,23,57,22,8,33,42,1,62,42,56,34
39,Kazakhstan,Asia,52,8,8,60,18,55,16,74,46,42,70,79,60,7,64,8,69,71,39,8,59,60,19,24,30,62,16,42,70,15,78,48,47,30,47,16,60,70,59,78,56,6,39,26,46,29,70,33,2,12,34,15,56,71,57,17,16,2,39,17,71,56,28,54,17,72,71,19,12,66,57,16
40,Kenya,Africa,57,17,59,2,55,12,32,69,16,21,17,9,2,53,17,69,74,46,61,17,77,2,53,7,34,69,71,61,17,8,2,10,12,39,26,2,64,17,15,2,60,24,37,47,23,57,17,41,71,16,53,78,57,46,32,21,72,71,69,24,73,57,34,68,21,65,9,57,66,14,23,71
41,Kyrgyzstan,Asia,47,65,71,71,44,73,39,10,57,61,65,8,71,52,12,65,7,57,52,65,41,71,15,16,73,74,57,5,65,41,71,34,62,73,69,57,18,16,8,71,48,39,79,56,58,78,21,22,78,35,72,71,26,62,47,78,65,42,65,18,30,37,2,56,16,74,2,26,38,37,26,2
42,Lithuania,Europe,39,21,52,26,65,53,79,47,23,52,16,74,26,68,7,57,62,23,35,16,15,26,18,64,65,2,2,18,16,58,72,37,44,1,7,71,35,21,62,72,1,58,65,22,71,56,16,58,72,34,7,30,7,34,54,16,68,78,37,7,65,26,62,59,78,58,72,8,39,30,37,1
43,Luxembourg,Europe,72,16,21,56,38,44,18,7,34,29,21,65,42,57,47,7,44,2,72,21,9,42,44,62,7,37,23,41,21,65,42,46,77,0,22,58,72,65,45,42,61,21,78,35,62,58,65,72,42,15,28,66,47,58,39,65,52,72,66,39,53,35,71,57,65,22,78,75,34,46,47,35
44,Mali,Africa,35,71,30,42,1,10,66,46,2,72,57,59,72,78,53,79,46,34,41,57,8,72,57,12,54,35,58,35,57,30,26,1,14,79,37,23,54,57,33,26,66,72,7,37,57,72,57,68,23,5,14,49,37,57,33,57,22,23,48,66,49,7,46,7,57,32,23,18,10,56,22,62
45,Mauritania,Africa,61,57,15,72,56,47,64,39,10,54,71,29,56,30,34,73,37,58,60,71,35,56,41,63,66,7,62,71,48,9,56,15,28,34,2,62,21,48,44,23,41,66,34,57,2,18,48,47,26,49,77,29,22,2,59,48,15,56,76,64,66,47,35,41,48,52,21,69,30,73,7,57
46,Mexico,North America,71,22,79,23,22,19,31,62,58,59,22,40,23,41,69,17,57,10,65,22,69,23,32,14,62,46,34,59,22,23,23,19,43,62,35,34,58,22,52,56,15,62,32,7,35,33,71,29,56,69,47,11,35,23,58,35,62,21,18,6,14,22,58,72,35,47,56,15,63,7,35,58
47,Moldova,Europe,59,35,45,21,59,41,62,37,47,35,48,18,21,23,79,55,71,47,54,48,40,21,48,53,79,26,47,54,71,40,21,49,7,78,46,35,41,71,30,21,5,53,49,52,34,5,22,44,21,73,39,16,52,35,72,71,47,5,46,56,40,34,48,21,71,57,5,65,44,11,34,39
48,Mongolia,Asia,42,74,47,5,41,46,54,2,1,74,35,35,5,18,16,18,2,62,29,35,47,5,23,6,37,57,10,60,35,62,5,26,63,37,52,47,5,35,29,5,57,44,11,58,47,71,35,7,5,37,58,32,34,39,5,22,49,26,28,44,55,69,1,58,22,23,26,28,79,62,16,48
49,Nepal,Asia,74,48,9,68,7,16,1,22,62,48,74,46,68,69,77,66,56,48,28,74,44,30,37,41,57,32,48,21,74,44,30,23,45,69,57,48,33,26,22,30,26,34,55,34,48,68,26,15,30,39,17,1,69,48,29,26,44,30,40,79,64,46,39,61,26,30,30,73,17,64,46,46
50,Netherlands,Europe,41,56,22,74,35,38,73,34,48,60,56,15,74,73,10,16,35,1,74,26,58,74,28,10,16,22,35,58,26,69,74,65,41,40,34,10,59,56,7,74,35,45,40,71,21,59,56,52,74,23,44,40,58,21,21,56,58,74,62,72,31,16,23,28,56,18,47,37,77,15,52,10
51,New Zealand,Oceania,34,26,73,30,30,23,14,26,73,58,26,14,30,63,33,54,26,35,58,2,29,68,62,21,18,10,73,68,56,47,68,40,53,12,56,21,56,74,73,68,22,79,66,69,39,21,2,30,41,66,38,65,71,10,35,2,30,47,73,63,11,52,21,48,2,49,74,12,0,28,30,21
52,Nicaragua,North America,58,30,18,47,23,7,5,57,35,32,2,22,47,10,44,30,10,73,59,56,23,47,26,66,32,52,21,28,2,7,41,57,16,18,32,73,32,2,57,41,18,9,1,46,10,35,74,8,68,53,21,41,10,47,68,74,60,68,79,62,45,30,10,47,74,60,39,23,7,55,10,47
53,Niger,Africa,60,2,35,41,45,22,34,35,69,65,30,53,41,37,46,12,52,69,79,30,30,41,73,68,39,34,1,33,30,22,47,32,57,32,71,69,49,30,58,61,49,47,33,2,40,12,30,35,61,62,66,8,2,69,49,30,57,41,52,58,1,71,5,5,58,46,61,66,21,1,69,5
54,Pakistan,Asia,45,23,69,7,79,79,69,56,53,41,23,7,61,40,25,62,32,53,5,23,22,61,60,79,49,71,69,48,23,79,61,68,79,57,10,1,40,23,68,47,10,38,12,32,69,48,23,57,47,46,32,7,46,40,48,58,29,61,61,65,7,10,69,29,30,35,41,44,25,12,41,23
55,Panama,North America,0,58,57,61,32,62,12,52,30,33,58,52,7,15,19,2,34,39,48,58,7,7,9,44,14,56,39,72,58,57,7,33,65,49,30,40,68,58,47,7,37,12,18,30,61,41,58,23,39,71,79,56,32,5,41,23,7,39,5,77,15,32,40,35,23,5,68,79,2,78,71,40
56,Paraguay,South America,21,7,7,58,63,57,28,72,39,71,7,44,58,48,68,14,22,44,8,7,32,39,49,22,69,30,53,29,7,72,39,5,38,28,58,61,65,7,5,39,32,77,61,11,73,65,7,69,7,48,62,12,30,73,9,7,23,7,12,21,44,11,73,9,7,10,7,42,45,18,49,69
57,Peru,South America,33,34,40,35,40,21,55,32,21,79,34,58,39,56,23,32,30,21,21,34,46,58,40,57,11,11,61,32,34,35,58,44,66,14,74,39,48,34,23,48,62,14,0,10,5,9,34,60,48,61,57,73,11,1,12,34,35,48,68,38,57,41,47,12,34,45,49,39,65,40,11,73
58,Philippines,Asia,79,54,58,48,48,60,57,30,44,31,54,30,35,9,5,37,72,30,34,52,18,35,10,46,64,58,30,74,52,32,48,61,33,71,11,52,71,52,39,58,53,16,57,39,30,32,52,5,58,79,16,0,16,61,65,52,18,58,53,55,70,49,61,78,52,7,48,5,33,61,32,61
59,Portugal,Europe,65,52,32,39,71,25,2,40,40,73,52,32,48,60,66,64,53,32,33,54,57,48,63,59,41,73,52,79,47,60,35,47,59,16,16,53,29,47,32,35,28,46,69,49,1,54,47,40,35,10,22,57,39,53,62,47,45,35,9,25,12,39,56,44,47,8,35,61,58,44,73,74
60,Romania,Europe,28,32,72,49,61,59,11,11,32,10,47,57,49,62,57,63,11,61,45,47,45,49,34,60,2,72,40,31,54,5,49,18,1,41,40,5,45,54,69,11,69,60,14,16,53,49,54,32,11,72,8,19,53,30,71,54,5,49,63,16,35,58,30,49,54,11,58,63,61,2,58,56
